source,variant,run,env,state_x,condition,sample_y,num_games,successes,pass_rate,complete_sample
origlogs,mechanism,origlogs_mechanism,frozen_lake,17,updated,6,20,8,0.4,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,17,updated,7,20,5,0.25,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,17,updated,8,20,8,0.4,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,18,original,1,20,8,0.4,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,18,original,2,20,9,0.45,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,18,original,3,20,11,0.55,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,18,original,4,20,9,0.45,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,18,original,5,20,9,0.45,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,18,original,6,20,10,0.5,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,18,original,7,20,9,0.45,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,18,original,8,20,10,0.5,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,18,updated,1,20,9,0.45,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,18,updated,2,20,9,0.45,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,18,updated,3,20,6,0.3,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,18,updated,4,20,10,0.5,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,18,updated,5,20,8,0.4,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,18,updated,6,20,8,0.4,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,18,updated,7,20,10,0.5,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,18,updated,8,20,8,0.4,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,19,original,1,20,10,0.5,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,19,original,2,20,8,0.4,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,19,original,3,20,10,0.5,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,19,original,4,20,8,0.4,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,19,original,5,20,12,0.6,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,19,original,6,20,5,0.25,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,19,original,7,20,9,0.45,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,19,original,8,20,8,0.4,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,19,updated,1,20,9,0.45,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,19,updated,2,20,10,0.5,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,19,updated,3,20,1,0.05,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,19,updated,4,20,8,0.4,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,19,updated,5,20,8,0.4,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,19,updated,6,20,8,0.4,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,19,updated,7,20,7,0.35,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,19,updated,8,20,7,0.35,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,20,original,1,20,7,0.35,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,20,original,2,20,9,0.45,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,20,original,3,20,6,0.3,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,20,original,4,20,7,0.35,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,20,original,5,20,10,0.5,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,20,original,6,20,7,0.35,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,20,original,7,20,9,0.45,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,20,original,8,20,6,0.3,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,20,updated,1,20,6,0.3,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,20,updated,2,20,2,0.1,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,20,updated,3,20,10,0.5,True
origlogs,mechanism,origlogs_mechanism,frozen_lake,20,updated,4,20,6,0.3,True
